Roll No,Name,Semester,Department
22BCS059,Sahil Jain,7,CSE
22BCS060,Siddharth Kapoor,7,CSE
22BCS061,Vikram Bhatia,7,CSE
22BCS062,Yash Mishra,7,CSE
22BCS063,Abhishek Nair,7,CSE
22BCS064,Ankit Rao,7,CSE
22BCS065,Deepak Pillai,7,CSE
22BCS066,Gopal Kumar,7,CSE
22BCS067,Himanshu Banerjee,7,CSE
22BCS068,Jay Kumar,7,CSE
22BCS069,Kunal Gupta,7,CSE
22BCS070,Laksh Shah,7,CSE
22BCS071,Mohit Joshi,7,CSE
22BCS072,Neeraj Mehta,7,CSE
22BCS073,Omkar Goyal,7,CSE
22BCS074,Piyush Arora,7,CSE
22BCS075,Ravi Tiwari,7,CSE
22BCS076,Sagar Dubey,7,CSE
22BCS077,Tarun Iyer,7,CSE
22BCS078,Utkarsh Krishnan,7,CSE
22BCS079,Varun Menon,7,CSE
22BCS080,Yuvraj Bose,7,CSE
22BCS081,Aarav Sharma,7,CSE
22BCS082,Aditya Patel,7,CSE
22BCS083,Akshay Yadav,7,CSE
22BCS084,Aman Khan,7,CSE
22BCS085,Aniket Agarwal,7,CSE
22BCS086,Arjun Bansal,7,CSE
22BCS087,Ayush Chopra,7,CSE
22BCS088,Dhruv Saxena,7,CSE
22BCS089,Gaurav Pandey,7,CSE
22BCS090,Harsh Menon,7,CSE
22BCS091,Ishaan Narayan,7,CSE
22BCS092,Karan Nair,7,CSE
22BCS093,Krishna Das,7,CSE
22BCS094,Manish Chatterjee,7,CSE
22BCS095,Nikhil Singh,7,CSE
22BCS096,Pranav Verma,7,CSE
22BCS097,Rahul Reddy,7,CSE
22BCS098,Rohan Malhotra,7,CSE
22BCS099,Sahil Jain,7,CSE
22BCS100,Siddharth Kapoor,7,CSE
22BDS001,Aarav Sharma,7,DSAI
22BDS002,Aditya Patel,7,DSAI
22BDS003,Akshay Yadav,7,DSAI
22BDS004,Aman Khan,7,DSAI
22BDS005,Aniket Agarwal,7,DSAI
22BDS006,Arjun Bansal,7,DSAI
22BDS007,Ayush Chopra,7,DSAI
22BDS008,Dhruv Saxena,7,DSAI
22BDS009,Gaurav Pandey,7,DSAI
22BDS010,Harsh Menon,7,DSAI
22BDS011,Ishaan Narayan,7,DSAI
22BDS012,Karan Nair,7,DSAI
22BDS013,Krishna Das,7,DSAI
22BDS014,Manish Chatterjee,7,DSAI
22BDS015,Nikhil Singh,7,DSAI
22BDS016,Pranav Verma,7,DSAI
22BDS017,Rahul Reddy,7,DSAI
22BDS018,Rohan Malhotra,7,DSAI
22BDS019,Sahil Jain,7,DSAI
22BDS020,Siddharth Kapoor,7,DSAI
22BDS021,Vikram Bhatia,7,DSAI
22BDS022,Yash Mishra,7,DSAI
22BDS023,Abhishek Nair,7,DSAI
22BDS024,Ankit Rao,7,DSAI
22BDS025,Deepak Pillai,7,DSAI
22BDS026,Gopal Kumar,7,DSAI
22BDS027,Himanshu Banerjee,7,DSAI
22BDS028,Jay Kumar,7,DSAI
22BDS029,Kunal Gupta,7,DSAI
22BDS030,Laksh Shah,7,DSAI
22BDS031,Mohit Joshi,7,DSAI
22BDS032,Neeraj Mehta,7,DSAI
22BDS033,Omkar Goyal,7,DSAI
22BDS034,Piyush Arora,7,DSAI
22BDS035,Ravi Tiwari,7,DSAI
22BDS036,Sagar Dubey,7,DSAI
22BDS037,Tarun Iyer,7,DSAI
22BDS038,Utkarsh Krishnan,7,DSAI
22BDS039,Varun Menon,7,DSAI
22BDS040,Yuvraj Bose,7,DSAI
22BDS041,Aarav Sharma,7,DSAI
22BDS042,Aditya Patel,7,DSAI
22BDS043,Akshay Yadav,7,DSAI
22BDS044,Aman Khan,7,DSAI
22BDS045,Aniket Agarwal,7,DSAI
22BDS046,Arjun Bansal,7,DSAI
22BDS047,Ayush Chopra,7,DSAI
22BDS048,Dhruv Saxena,7,DSAI
22BDS049,Gaurav Pandey,7,DSAI
22BDS050,Harsh Menon,7,DSAI
22BEC001,Aarav Sharma,7,ECE
22BEC002,Aditya Patel,7,ECE
22BEC003,Akshay Yadav,7,ECE
22BEC004,Aman Khan,7,ECE
22BEC005,Aniket Agarwal,7,ECE
22BEC006,Arjun Bansal,7,ECE
22BEC007,Ayush Chopra,7,ECE
22BEC008,Dhruv Saxena,7,ECE
22BEC009,Gaurav Pandey,7,ECE
22BEC010,Harsh Menon,7,ECE
22BEC011,Ishaan Narayan,7,ECE
22BEC012,Karan Nair,7,ECE
22BEC013,Krishna Das,7,ECE
22BEC014,Manish Chatterjee,7,ECE
22BEC015,Nikhil Singh,7,ECE
22BEC016,Pranav Verma,7,ECE
22BEC017,Rahul Reddy,7,ECE
22BEC018,Rohan Malhotra,7,ECE
22BEC019,Sahil Jain,7,ECE
22BEC020,Siddharth Kapoor,7,ECE
22BEC021,Vikram Bhatia,7,ECE
22BEC022,Yash Mishra,7,ECE
22BEC023,Abhishek Nair,7,ECE
22BEC024,Ankit Rao,7,ECE
22BEC025,Deepak Pillai,7,ECE
22BEC026,Gopal Kumar,7,ECE
22BEC027,Himanshu Banerjee,7,ECE
22BEC028,Jay Kumar,7,ECE
22BEC029,Kunal Gupta,7,ECE
22BEC030,Laksh Shah,7,ECE
22BEC031,Mohit Joshi,7,ECE
22BEC032,Neeraj Mehta,7,ECE
22BEC033,Omkar Goyal,7,ECE
22BEC034,Piyush Arora,7,ECE
22BEC035,Ravi Tiwari,7,ECE
22BEC036,Sagar Dubey,7,ECE
22BEC037,Tarun Iyer,7,ECE
22BEC038,Utkarsh Krishnan,7,ECE
22BEC039,Varun Menon,7,ECE
22BEC040,Yuvraj Bose,7,ECE
22BEC041,Aarav Sharma,7,ECE
22BEC042,Aditya Patel,7,ECE
22BEC043,Akshay Yadav,7,ECE
22BEC044,Aman Khan,7,ECE
22BEC045,Aniket Agarwal,7,ECE
22BEC046,Arjun Bansal,7,ECE
22BEC047,Ayush Chopra,7,ECE
22BEC048,Dhruv Saxena,7,ECE
22BEC049,Gaurav Pandey,7,ECE
22BEC050,Harsh Menon,7,ECE
